Year,m,d,Time,Time zone,Air temperature (degC),Global radiation (W/m2)
2021,1,4,9:50,UTC,-7.8,27.9
2021,1,4,10:00,UTC,-7.9,29
2021,1,4,10:10,UTC,-8,26.9
2021,1,4,10:20,UTC,-8,24.9
2021,1,4,10:30,UTC,-7.9,27.9
2021,1,4,10:40,UTC,-8,31
2021,1,4,10:50,UTC,-8,29.4
2021,1,4,11:00,UTC,-8.1,29.9
2021,1,4,11:10,UTC,-8,31.9
2021,1,4,11:20,UTC,-8,28.4
2021,1,4,11:30,UTC,-8,24.3
2021,1,4,11:40,UTC,-7.9,22.2
2021,1,4,11:50,UTC,-7.9,23.4
2021,1,4,12:00,UTC,-7.9,23.5
2021,1,4,12:10,UTC,-7.8,20.1
2021,1,4,12:20,UTC,-7.7,15.7
2021,1,4,12:30,UTC,-7.6,14.8
2021,1,4,12:40,UTC,-7.5,11.9
2021,1,4,12:50,UTC,-7.5,9.6
2021,1,4,13:00,UTC,-7.5,7.5
2021,1,4,13:10,UTC,-7.4,4.9
2021,1,4,13:20,UTC,-7.3,2.9
2021,1,4,13:30,UTC,-7.3,1.8
2021,1,4,13:40,UTC,-7.3,0.8
2021,1,4,13:50,UTC,-7.3,0.2
2021,1,4,14:00,UTC,-7.3,-0.5
2021,1,4,14:10,UTC,-7.3,-0.7
2021,1,4,14:20,UTC,-7.3,-0.8
2021,1,4,14:30,UTC,-7.3,-0.7
2021,1,4,14:40,UTC,-7.3,-0.8
2021,1,4,14:50,UTC,-7.4,-1
2021,1,4,15:00,UTC,-7.4,-0.8
2021,1,4,15:10,UTC,-7.3,-0.8
2021,1,4,15:20,UTC,-7.3,-0.7
2021,1,4,15:30,UTC,-7.4,-0.9
2021,1,4,15:40,UTC,-7.4,-0.8
2021,1,4,15:50,UTC,-7.6,-1
2021,1,4,16:00,UTC,-7.6,-0.9
2021,1,4,16:10,UTC,-7.7,-0.9
2021,1,4,16:20,UTC,-7.9,-0.7
2021,1,4,16:30,UTC,-8,-0.9
2021,1,4,16:40,UTC,-8.2,-0.8
2021,1,4,16:50,UTC,-8.3,-0.8
2021,1,4,17:00,UTC,-8.4,-0.7
2021,1,4,17:10,UTC,-8.4,-0.7
