Year,m,d,Time,Time zone,Air temperature (degC),Global radiation (W/m2)
2021,5,3,3:30,UTC,-1.8,92.8
2021,5,3,3:40,UTC,-1.5,94.9
2021,5,3,3:50,UTC,-1,125.2
2021,5,3,4:00,UTC,-0.7,148.5
2021,5,3,4:10,UTC,0,184.1
2021,5,3,4:20,UTC,0.6,212.8
2021,5,3,4:30,UTC,1.2,231.2
2021,5,3,4:40,UTC,2,261.1
2021,5,3,4:50,UTC,3.1,270.9
2021,5,3,5:00,UTC,3.9,288.4
2021,5,3,5:10,UTC,4.7,274.8
2021,5,3,5:20,UTC,5.2,320.3
2021,5,3,5:30,UTC,5.4,309.7
2021,5,3,5:40,UTC,5.5,344.6
2021,5,3,5:50,UTC,6.2,357
2021,5,3,6:00,UTC,6.1,343.7
2021,5,3,6:10,UTC,6.3,402.6
2021,5,3,6:20,UTC,6.5,385.4
2021,5,3,6:30,UTC,6.8,400.8
2021,5,3,6:40,UTC,6.8,390.4
2021,5,3,6:50,UTC,6.9,392.4
2021,5,3,7:00,UTC,7,454
2021,5,3,7:10,UTC,6.9,447.8
2021,5,3,7:20,UTC,7.3,507.6
2021,5,3,7:30,UTC,7.5,560.8
2021,5,3,7:40,UTC,7.7,536
2021,5,3,7:50,UTC,7.6,260.1
2021,5,3,8:00,UTC,7.8,530.7
2021,5,3,8:10,UTC,7.6,325.8
2021,5,3,8:20,UTC,7.3,504.5
2021,5,3,8:30,UTC,7.1,334.3
2021,5,3,8:40,UTC,7.2,351.7
2021,5,3,8:50,UTC,7.9,445.3
2021,5,3,9:00,UTC,7.8,591.7
2021,5,3,9:10,UTC,8,621.5
2021,5,3,9:20,UTC,7.8,606.5
2021,5,3,9:30,UTC,7.7,396.2
2021,5,3,9:40,UTC,8.7,941.5
2021,5,3,9:50,UTC,8.4,793.4
2021,5,3,10:00,UTC,8.1,605
2021,5,3,10:10,UTC,8.6,789.9
2021,5,3,10:20,UTC,8.2,752.3
2021,5,3,10:30,UTC,9.2,683.6
2021,5,3,10:40,UTC,8.9,627.2
2021,5,3,10:50,UTC,8.5,614.8
2021,5,3,11:00,UTC,8.8,655.6
2021,5,3,11:10,UTC,9.2,677.4
2021,5,3,11:20,UTC,8.9,717.7
2021,5,3,11:30,UTC,9.4,705.6
2021,5,3,11:40,UTC,9.2,669.1
2021,5,3,11:50,UTC,9.2,643.6
2021,5,3,12:00,UTC,9.2,635.4
2021,5,3,12:10,UTC,8.7,431.2
2021,5,3,12:20,UTC,9.1,455.8
